Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card
10mmmookaiteplugs,10mm Mookaite Plugs,"<p><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 12px;"">Seabring is a place for you to source custom made plugs and tunnels. Carved and finished by hand, made to order.</span></p>",Seabring Organics,Jewellery,"organic, plugs, seabring, wood",true,Title,Default,,,,,10284,0,shopify,1,deny,manual,45.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/9811f837973ca204b78ea5329c86d8ae189368bd.jpeg?v=1396821499,,false
12mmsodaliteplugs,12mm Sodalite Plugs,"<p><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 12px;"">Seabring is a place for you to source custom made plugs and tunnels. Carved and finished by hand, made to order.</span></p>",Seabring Organics,Jewellery,"organic, plugs, seabring, tunnels, wood",true,Title,Default,,,,,10285,0,shopify,1,deny,manual,45.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/315001abce20fb1d36ab02dc4b55d4ca7aad31d9.jpeg?v=1396821500,,false
14mmbloodwoodplugs,14mm Bloodwood Plugs,"<p><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 12px;"">Seabring is a place for you to source custom made plugs and tunnels. Carved and finished by hand, made to order.</span></p>",Seabring Organics,General,"handmade, organic, plugs, seabring, tunnels, wood",true,Title,Default,,,,,10288,0,shopify,1,deny,manual,35.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/4f7bed91c164026b5817f155f0b8fea91dbe16ef.jpeg?v=1396821501,,false
15mmmixedwoodplugs,15mm Mixed Wood Plugs,"<p><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 12px;"">Seabring is a place for you to source custom made plugs and tunnels. Carved and finished by hand, made to order.</span></p>",Seabring Organics,Jewellery,"handmade, organic, plugs, seabring, tunnels, wood",true,Title,Default,,,,,10293,0,shopify,1,deny,manual,35.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/59b100916a2a40abf586eb0faf5ea211a17002e2.jpeg?v=1396821503,,false
16mmlaureltunnels,16mm Laurel Tunnels,"<p><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 12px;"">Seabring is a place for you to source custom made plugs and tunnels. Carved and finished by hand, made to order.</span></p>",Seabring Organics,Jewellery,"organic, plugs, seabring, tunnels, wood",true,Title,Default,,,,,10286,0,shopify,1,deny,manual,35.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/fae01819c4a8ada246163b6a8ea0462fad4acdb8.jpeg?v=1396821504,,false
17mmmixedwoodtunnels,17mm Mixed Wood Tunnels,"<p><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 12px;"">Seabring is a place for you to source custom made plugs and tunnels. Carved and finished by hand, made to order.</span></p>",Seabring Organics,Jewellery,"handmade, organic, plugs, seabring, tunnels, wood",true,Title,Default,,,,,10292,0,shopify,1,deny,manual,35.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/ed778f1721177e720390205b9e29f0b63b7c85f3.jpeg?v=1396821505,,false
18mmlaureltunnels,18mm Laurel Tunnels,"<p><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 12px;"">Seabring is a place for you to source custom made plugs and tunnels. Carved and finished by hand, made to order.</span></p>",Seabring Organics,Jewellery,"handmade, organic, seabring, tunnels, wood",true,Title,Default,,,,,10287,0,shopify,1,deny,manual,35.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/354f07aded67131f0c0be079d0ab9aa65e7cbda5.jpeg?v=1396821507,,false
20mmbloodwoodplugs,20mm Bloodwood Plugs,"<p><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 12px;"">Seabring is a place for you to source custom made plugs and tunnels. Carved and finished by hand, made to order.</span></p>",Seabring Organics,Jewellery,"handmade, organic, plugs, seabring, tunnels, wood",true,Title,Default,,,,,10289,0,shopify,0,deny,manual,35.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/95b9199ce916388b24fd3eccdd54bbb84dde5ee1.jpeg?v=1396821508,,false
21mmmixedwoodplugs,21mm Mixed Wood Plugs,"<p><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 12px;"">Seabring is a place for you to source custom made plugs and tunnels. Carved and finished by hand, made to order.</span></p>",Seabring Organics,Jewellery,"handmade, organic, plugs, seabring, tunnels, wood",true,Title,Default,,,,,10294,0,shopify,1,deny,manual,35.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/f40dc6dc64f133af22f0073f972609e55d9b4127.jpeg?v=1396821510,,false
24mmmixedwoodtunnels,24mm Mixed Wood Tunnels,"<p><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 12px;"">Seabring is a place for you to source custom made plugs and tunnels. Carved and finished by hand, made to order.</span></p>",Seabring Organics,Jewellery,"handmade, organic, plugs, seabring, tunnels, wood",true,Title,Default,,,,,10295,0,shopify,1,deny,manual,35.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/9b65943ffdb29bdc69d6eedab7b1df701a6d5bd6.jpeg?v=1396821511,,false
afallfromgracedress,A Fall From Grace Dress,"<p class=""p1"">A dress for the brave and beautiful. Five tiered frills with contrasting binding finishing the hem of each individual frill. Elbow length sleeves with gathered and elasticated cuffs. Double frill neck collar, because it's too cute not to.</p>
<p class=""p2"">&nbsp;</p>
<p class=""p2"">&nbsp;</p>
<p class=""p1"">DESCRIPTION:</p>
<p>&nbsp;</p>
<ul class=""ul1"">
<li class=""li3""><i>Relaxed fit five&nbsp;tiered&nbsp;frill dress</i></li>
<li class=""li3""><i>Coral contrast silk cotton binding detail</i></li>
<li class=""li3""><i>Elasticated sleeve hem</i></li>
<li class=""li3""><i>Double frill neck detail</i></li>
<li class=""li3""><i>Keyhole back with gold ball closure</i></li>
<li class=""li3""><i>Exclusively designed fabric by The Oblivious</i></li>
</ul>",The Oblivious,Dresses,"afallfromgrace, dress, ladies, theoblivious",true,Size,10,,,,,10528,0,shopify,1,deny,manual,299.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/e1c4c3fada4cd04ee5652059c8325b3a91fc1749.jpeg?v=1396821512,,false
afallfromgracedress,,,,,,,Size,12,,,,,10529,0,shopify,1,deny,manual,299.00,,true,true,,,,
afallfromgracepant,A Fall From Grace Pant,"<p style=""margin: 0px 0px 15px; font-size: 15px; font-family: Times; background-color: #fcfcfc;""><span style=""letter-spacing: 1.0px;"">Made in our very own custom print for the season, these pants are not only unique but they are comfortable as heck. The gold shank at each ankle adds a touch of class and elegance to the casual style of a harem pant.</span></p>
<p style=""margin: 0px 0px 15px; font-size: 15px; font-family: Times; background-color: #fcfcfc;""><span style=""letter-spacing: 1.0px;"">DESCRIPTION:</span></p>
<p>&nbsp;</p>
<ul style=""list-style-type: none;"">
<li style=""margin: 0px; font-size: 15px; font-family: Times; background-color: #fcfcfc;""><span style=""letter-spacing: 1.0px;""><i>Relax fit harem trousers</i></span></li>
<li style=""margin: 0px; font-size: 15px; font-family: Times; background-color: #fcfcfc;""><span style=""letter-spacing: 1.0px;""><i>Mid rise elasticated waistband</i></span></li>
<li style=""margin: 0px; font-size: 15px; font-family: Times; background-color: #fcfcfc;""><span style=""letter-spacing: 1.0px;""><i>In-seam side pockets</i></span></li>
<li style=""margin: 0px; font-size: 15px; font-family: Times; background-color: #fcfcfc;""><span style=""letter-spacing: 1.0px;""><i>Ankle fastening with a gold shank button</i></span></li>
<li style=""margin: 0px; font-size: 15px; font-family: Times; background-color: #fcfcfc;""><span style=""letter-spacing: 1.0px;""><i>Exclusively designed fabric by The Oblivious</i></span></li>
</ul>",The Oblivious,Pants,"fashion, harem, ladies, oblivious, pants",true,Size,10,,,,,10308,0,shopify,1,deny,manual,219.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/9c8c9b96a570121b6d12667aba0ac518ab1cb4a5.jpeg?v=1396821514,,false
afallfromgracepant,,,,,,,Size,12,,,,,10309,0,shopify,1,deny,manual,219.00,,true,true,,,,
abbeyroadtee,Abbey Road Tee,"<p class=""p1"">Printed Tee with a twist. Screen printed classic fit t-shirt with a sheer fabric overlay. Is it conservative or is it crazy, we can&rsquo;t decide?!</p>
<p class=""p1"">&nbsp;</p>
<p class=""p1"">COMPOSITION:&nbsp;Main: 66% Viscose 30% Nylon 4% Spandex. Contrast: 95% Cotton 5% Spandex. 100% Genuine leather.</p>
<p class=""p1"">CARE INSTRUCTIONS: Machine wash, iron on reverse</p>
<p class=""p1"">WORN WITH: Shrouded Vest and Sundance Shorts</p>",The Oblivious,T-Shirts,"beetle, mens, sheer, tees, theoblivious",true,Size,Medium,,,,,10970,0,shopify,1,deny,manual,119.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/54887bb5eb118fc44cccf35813d522c74fe337d0.jpeg?v=1396821515,,false
abbeyroadtee,,,,,,,Size,Large,,,,,10971,0,shopify,0,deny,manual,119.00,,true,true,,,,
abbeyroadtee,,,,,,,Size,Extra Large,,,,,10972,0,shopify,1,deny,manual,119.00,,true,true,,,,
accomplishteewhite,Accomplish Tee White,,Team Intl,T-Shirts,"auckland, streetwear, team, teamintl, tees, tshirts",true,Size,Medium,,,,,10165,0,shopify,0,deny,manual,59.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/0f0d614f2d8d7d5a1e43a18a169cf21533f19a55.jpeg?v=1396821517,,false
accomplishteewhite,,,,,,,Size,Large,,,,,10166,0,shopify,0,deny,manual,59.00,,true,true,,,,
arachnidring,Arachnid Ring,"<p><span style=""color: #696969; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 12px; line-height: 16px; text-align: left;"">Spider charm on an adjustable ring shank</span></p>",Young Pilgrims Jewellery,Jewellery,"jewellery, ladies, rings, spider, youngpilgrims, YPJ",true,Title,Default,,,,,10130,0,shopify,0,deny,manual,15.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/8f22dcb2efb9b3dbd2bfe4534d98a665a95b368c.jpeg?v=1396821519,,false
aristotletee,Aristotle Tee,"<p style=""margin: 0px; color: #333333; font-size: 14px; line-height: 18px; padding: 0px; font-family: Arial, Helvetica, sans-serif;"">Aristotle lived some 2,000 years ago. Yet, by no mere feat of chance, the mans name still lives on.</p>
<p style=""margin: 0px; color: #333333; font-size: 14px; line-height: 18px; padding: 0px; font-family: Arial, Helvetica, sans-serif;"">&nbsp;</p>
<p style=""margin: 0px; color: #333333; font-size: 14px; line-height: 18px; padding: 0px; font-family: Arial, Helvetica, sans-serif;"">He was taught by Plato who himself was taught by Plato. And, in turn, Aristotle turned his hand and taught Alexander the Great.</p>
<p style=""margin: 0px; color: #333333; font-size: 14px; line-height: 18px; padding: 0px; font-family: Arial, Helvetica, sans-serif;"">&nbsp;</p>
<p style=""margin: 0px; color: #333333; font-size: 14px; line-height: 18px; padding: 0px; font-family: Arial, Helvetica, sans-serif;"">&equiv; Woven sleeve label<br style=""margin: 0px; padding: 0px; color: #103025; font-family: Georgia, 'Times New Roman', Times, serif; font-size: 15px; line-height: 19px; background-color: #f2e4b1;"" />&equiv; 100% premium organic cotton&nbsp;<br style=""margin: 0px; padding: 0px; color: #103025; font-family: Georgia, 'Times New Roman', Times, serif; font-size: 15px; line-height: 19px; background-color: #f2e4b1;"" />&equiv; Large front screen print&nbsp;<br style=""margin: 0px; padding: 0px; color: #103025; font-family: Georgia, 'Times New Roman', Times, serif; font-size: 15px; line-height: 19px; background-color: #f2e4b1;"" /><br /></p>",The Lucid Collective,T-Shirts,"mens, menswear, tees, thelucidcollective, tshirts",true,Size,Medium,,,,,10084,0,shopify,5,deny,manual,69.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/3c80e1c7e756c52f2d7bf22630a1cd97df9b7628.jpeg?v=1396821521,,false
aristotletee,,,,,,,Size,Large,,,,,10085,0,shopify,5,deny,manual,69.00,,true,true,,,,
aristotletee,,,,,,,Size,Extra Large,,,,,10086,0,shopify,3,deny,manual,69.00,,true,true,,,,
aristotletee,,,,,,,Size,Small,,,,,10083,0,shopify,4,deny,manual,69.00,,true,true,,,,
armygreenpencilcase,Army Green Pencil Case,"<ul style=""margin: 0px; padding: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;"">
<li style=""margin: 0px; padding: 0px;"">Constructed with strong 600D polyester</li>
<li style=""margin: 0px; padding: 0px;"">Nylon Zips</li>
<li style=""margin: 0px; padding: 0px;"">Fully Lined</li>
<li style=""margin: 0px; padding: 0px;"">Leather Handle</li>
</ul>",Frank Stationery,Stationery,"army, frank, oneforone, pencilcase",true,Title,Default,,,,,10516,0,shopify,2,deny,manual,15.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/ae81e6a5c59edf0e39ef6845354c717110b395cd.jpeg?v=1396821522,,false
arrowring,Arrow Ring,"<p><span style=""background-color: transparent; line-height: 16px; color: #696969; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 12px;"">Arrow charm on a fully adjustable ring base. Available in Along finger &amp; Across finger</span></p>",Young Pilgrims Jewellery,Jewellery,"arrow, jewellery, rings, youngpilgrims, YPJ",true,Style,Along Finger,,,,,10866,0,shopify,1,deny,manual,25.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/4f305410f3620dc909025b3b49e75940a3ee1403.jpeg?v=1396821524,,false
arrowring,,,,,,,Style,Across Finger,,,,,10867,0,shopify,0,deny,manual,25.00,,true,true,,,,
